
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.042251,-0.1505,0.6297,0.8030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.051922,-0.1319,0.6185,0.8238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.082945,-0.1142,0.6160,0.8217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.084043,-0.1142,0.6160,0.8217,0.0000,0.0000,0.0000,0.0617,0.0134,-0.0047,0.0000,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.084738,-0.0707,0.6268,0.7844,0.0000,0.0000,0.0000,0.0617,0.0134,-0.0047,0.0000,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.111024,-0.1063,0.6129,0.7804,0.0000,0.0000,0.0000,0.0617,0.0134,-0.0047,0.0000,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.148437,-0.1063,0.6129,0.7804,0.0000,0.0000,0.0000,0.0386,0.0903,-0.0125,0.0000,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.159326,-0.1063,0.6129,0.7804,0.0000,0.0000,0.0000,0.0386,0.0903,-0.0125,1004.5346,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.160119,-0.1063,0.6129,0.7804,0.0000,0.0000,0.0000,0.0386,0.0903,-0.0125,1004.5346,0.0000,0.0000,0.0000,49.26679024,-122.90578601,0.00000000,
0.160583,-0.1063,0.6129,0.7804,0.0000,0.0000,0.0000,0.0386,0.0903,-0.0125,1004.5346,52.1456,-37.4578,-7.2330,49.26679024,-122.90578601,0.00000000,
