time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s)
0.064854,0.0678,0.9369,0.2674,0,0,0,0,0,0,0,0,0
0.065143,0.0274,0.9194,0.2708,0,0,0,0,0,0,49.27255511,-122.9764584,0
0.065403,0.0274,0.9194,0.2708,0,0,0,0,0,0,49.27255511,-122.9764584,0
0.082409,0.026,0.923,0.2755,0,0,0,0,0,0,49.27255511,-122.9764584,0
0.091194,0.0636,0.9294,0.2736,0,0,0,0,0,0,49.27255511,-122.9764584,0
0.092196,0.0636,0.9294,0.2736,0,0,0,0,0,0,49.27255511,-122.9764584,0
0.114389,0.0636,0.9294,0.2736,0,0,0,-0.0211,0.0383,-0.0484,49.27255511,-122.9764584,0
0.115439,0.0428,0.927,0.2577,0,0,0,-0.0211,0.0383,-0.0484,49.27255511,-122.9764584,0
0.134626,0.0634,0.9253,0.2552,0,0,0,-0.0211,0.0383,-0.0484,49.27255511,-122.9764584,0
0.150063,0.0634,0.9433,0.2689,0,0,0,-0.0211,0.0383,-0.0484,49.27255511,-122.9764584,0
0.171581,0.0634,0.9433,0.2689,0,0,0,-0.0211,0.0383,-0.0484,49.27255511,-122.9764584,0
0.173873,0.0194,0.9319,0.2559,0,0,0,-0.0211,0.0383,-0.0484,49.27255511,-122.9764584,0
0.182897,0.0194,0.9319,0.2559,0,0,0,-0.0397,0.0987,-0.0728,49.27255511,-122.9764584,0
0.203001,0.0216,0.9303,0.2546,0,0,0,-0.0397,0.0987,-0.0728,49.27255511,-122.9764584,0
0.205813,-0.0009,0.9189,0.2485,0,0,0,-0.0397,0.0987,-0.0728,49.27255511,-122.9764584,0
0.207757,-0.0009,0.9189,0.2485,0,0,0,-0.0397,0.0987,-0.0728,49.27255511,-122.9764584,0
0.251923,-0.0009,0.9189,0.2485,0,0,0,-0.0959,0.1478,-0.0289,49.27255511,-122.9764584,0
0.255124,-0.0009,0.9189,0.2485,0,0,0,-0.0959,0.1478,-0.0289,49.27255511,-122.9764584,0
