time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s)
0.131349,0,0,0,0,0,0,0,0,0,0,0,0
0.132529,0.119,0.7195,0.65,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.175258,0.119,0.7195,0.65,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.176888,0.107,0.7152,0.6521,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.178221,0.1005,0.7151,0.6513,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.191501,0.1068,0.7205,0.652,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.196644,0.1158,0.7273,0.6513,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.199861,0.1158,0.7273,0.6513,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.242358,0.1156,0.726,0.6485,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.243854,0.1152,0.7168,0.6489,0,0,0,0,0,0,49.2738856,-122.9807201,0
0.245319,0.1152,0.7168,0.6489,0,0,0,0.0015,-0.0144,-0.0101,49.2738856,-122.9807201,0
0.248041,0.1152,0.7168,0.6489,0,0,0,0.0015,-0.0144,-0.0101,49.2738856,-122.9807201,0
0.263929,0.1113,0.7173,0.65,0,0,0,0.0015,-0.0144,-0.0101,49.2738856,-122.9807201,0
0.27602,0.1113,0.7173,0.65,0,0,0,0.0015,-0.0144,-0.0101,49.2738856,-122.9807201,0
0.277818,0.1094,0.7179,0.6434,0,0,0,0.0015,-0.0144,-0.0101,49.2738856,-122.9807201,0
0.294786,0.1046,0.7158,0.6421,0,0,0,0.0015,-0.0144,-0.0101,49.2738856,-122.9807201,0
0.29667,0.1046,0.7158,0.6421,0,0,0,0.0015,-0.0144,-0.0101,49.2738856,-122.9807201,0
0.310429,0.1046,0.7158,0.6421,0,0,0,0.0046,0.0011,-0.018,49.2738856,-122.9807201,0
0.312733,0.1016,0.7169,0.6465,0,0,0,0.0046,0.0011,-0.018,49.2738856,-122.9807201,0
0.31489,0.1016,0.7169,0.6465,0.0452,0.0232,-0.007,0.0046,0.0011,-0.018,49.2738856,-122.9807201,0
0.338597,0.1016,0.7169,0.6465,0.0452,0.0232,-0.007,0.0046,0.0011,-0.018,49.2738856,-122.9807201,0
0.340773,0.1065,0.7225,0.6526,0.0452,0.0232,-0.007,0.0046,0.0011,-0.018,49.2738856,-122.9807201,0
0.361793,0.1065,0.7225,0.6526,0.0452,0.0232,-0.007,0.0046,0.0011,-0.018,49.2738856,-122.9807201,0
0.365847,0.1099,0.7217,0.6512,0.0452,0.0232,-0.007,0.0046,0.0011,-0.018,49.2738856,-122.9807201,0
0.378833,0.1099,0.7217,0.6512,0.0452,0.0232,-0.007,0.005,-0.0017,-0.013,49.2738856,-122.9807201,0
0.382689,0.0985,0.7158,0.6413,0.0452,0.0232,-0.007,0.005,-0.0017,-0.013,49.2738856,-122.9807201,0
0.385533,0.0985,0.7158,0.6413,-0.0264,-0.0211,-0.0376,0.005,-0.0017,-0.013,49.2738856,-122.9807201,0
0.389827,0.0925,0.7133,0.6371,-0.0264,-0.0211,-0.0376,0.005,-0.0017,-0.013,49.2738856,-122.9807201,0
0.400591,0.0925,0.7133,0.6371,-0.0264,-0.0211,-0.0376,0.005,-0.0017,-0.013,49.2738856,-122.9807201,0
0.446071,0.0933,0.6921,0.6358,-0.0264,-0.0211,-0.0376,0.005,-0.0017,-0.013,49.2738856,-122.9807201,0
0.452858,0.0778,0.6887,0.6218,-0.0264,-0.0211,-0.0376,0.005,-0.0017,-0.013,49.2738856,-122.9807201,0
0.459456,0.0778,0.6887,0.6218,-0.0264,-0.0211,-0.0376,-0.0162,0.0144,0.0177,49.2738856,-122.9807201,0
0.463158,0.1116,0.7152,0.6104,-0.0264,-0.0211,-0.0376,-0.0162,0.0144,0.0177,49.2738856,-122.9807201,0
0.467415,0.1116,0.7152,0.6104,-0.0423,0.0063,-0.0186,-0.0162,0.0144,0.0177,49.2738856,-122.9807201,0
0.48023,0.1116,0.7152,0.6104,-0.0423,0.0063,-0.0186,-0.0162,0.0144,0.0177,49.2738856,-122.9807201,0
0.482926,0.1345,0.721,0.6368,-0.0423,0.0063,-0.0186,-0.0162,0.0144,0.0177,49.2738856,-122.9807201,0
